,County,FIPS(county code)-kg/ha,RF(rain fed)-kg/ha,IR(irrigated),Year
441,Cleburne,1029,6113,13446,2016
442,Barbour,1005,4838,12907,2016
443,Geneva,1061,8689.5,13517.5,2016
444,Dale,1045,8353,13320,2016
445,Tallapoosa,1123,3594,12750,2016
446,Clarke,1025,6556,13037,2016
447,Houston,1069,7655,13673,2016
448,Washington,1129,11721,12806,2016
449,Madison,1089,4572,13640,2016
450,Crenshaw,1041,6151,13329.5,2016
451,Calhoun,1015,3965,13008,2016
452,Lawrence,1079,4924,13729,2016
453,Morgan,1103,4169,13866,2016
454,Lamar,1075,5966,13047.5,2016
455,Russell,1113,3111,13314,2016
456,Franklin,1059,4280,12909,2016
457,Conecuh,1035,4204.5,12983.5,2016
458,Elmore,1051,4872.5,13172,2016
459,Jefferson,1073,3698,12398.5,2016
460,Walker,1127,4249,12926,2016
461,Randolph,1111,5000,12792,2016
462,Montgomery,1101,4652,13032.5,2016
463,Bibb,1007,5450,12380,2016
464,Etowah,1055,5036,13464,2016
465,Chilton,1021,4955.5,12259.5,2016
466,Coffee,1031,6701,13377.5,2016
467,Covington,1039,8134,13081.5,2016
468,Henry,1067,5213,13238,2016
469,Clay,1027,12430,13021,2017
470,Marengo,1091,11767.5,12219.5,2017
471,DeKalb,1049,13208,13469,2017
472,Cherokee,1019,12510,12619,2017
473,Hale,1065,12045,12606,2017
474,Perry,1105,12324,12517,2017
475,Colbert,1033,9823,13230.5,2017
476,Greene,1063,12192,12772,2017
477,Butler,1013,11487,11569,2017
478,Lee,1081,12282,12289,2017
479,Mobile,1097,6528,10334,2017
480,Fayette,1057,12846,12930,2017
481,Chambers,1017,12398,12632,2017
482,Tuscaloosa,1125,12748.5,13022.5,2017
483,Wilcox,1131,11064.5,11944,2017
484,Marshall,1095,12712.5,12943.5,2017
485,Escambia,1053,11043.5,11043,2017
486,Limestone,1083,13426,13624,2017
487,Blount,1009,12094,12555,2017
488,Monroe,1099,11284,11821.5,2017
489,Marion,1093,13081,13130,2017
490,Lowndes,1085,11155.5,11653,2017
491,Coosa,1037,12307,12603,2017
492,Pike,1109,11325.5,11595.5,2017
493,Sumter,1119,11731.5,12323,2017
494,Winston,1133,13064.5,13231.5,2017
495,Talladega,1121,12305,12941,2017
496,Jackson,1071,7668,13145,2017
497,Baldwin,1003,11167,11280,2017
498,Bullock,1011,11668,11992,2017
499,Autauga,1001,12052,12283,2017
500,Macon,1087,12005,12079,2017
501,St. Clair,1115,12269,12318.5,2017
502,Choctaw,1023,11629,11949,2017
503,Cullman,1043,7947,13060,2017
504,Shelby,1117,12429,12822,2017
505,Dallas,1047,11843,12163,2017
506,Pickens,1107,12965,12968,2017
507,Lauderdale,1077,11910,13438,2017
508,Cleburne,1029,12404,12508,2017
509,Barbour,1005,11166.5,11574.5,2017
510,Geneva,1061,10477,11531,2017
511,Dale,1045,11136,11411,2017
512,Tallapoosa,1123,12472,12604,2017
513,Clarke,1025,11593,12148,2017
514,Houston,1069,10822,11609,2017
515,Washington,1129,12292,12249,2017
516,Madison,1089,13306,13331,2017
517,Crenshaw,1041,10841.5,11337,2017
518,Calhoun,1015,11979,12312,2017
519,Lawrence,1079,12439,13279,2017
520,Morgan,1103,12226,13168,2017
521,Lamar,1075,13253.5,13268,2017
522,Russell,1113,11869,11891,2017
523,Franklin,1059,6976.5,12952.5,2017
524,Conecuh,1035,9840.5,11027.5,2017
525,Elmore,1051,11705,12013,2017
526,Jefferson,1073,10056,13144.5,2017
527,Walker,1127,6551,12841,2017
528,Randolph,1111,12379,12533,2017
529,Montgomery,1101,10971.5,11510.5,2017
530,Bibb,1007,12280,12621,2017
531,Etowah,1055,12426,12448,2017
532,Chilton,1021,12526.5,12604,2017
533,Coffee,1031,11104.5,11300,2017
534,Covington,1039,10628.5,11038,2017
535,Henry,1067,11109,11481,2017
536,Clay,1027,12619,12882,2018
537,Marengo,1091,10839,12644,2018
538,DeKalb,1049,13555,14066,2018
539,Cherokee,1019,12281,12948,2018
540,Hale,1065,10677.5,12369.5,2018
541,Perry,1105,11444,12476,2018
542,Colbert,1033,10345.5,12143,2018
543,Greene,1063,10592,12448,2018
544,Butler,1013,11677,12518,2018
545,Lee,1081,12604,12930,2018
546,Mobile,1097,6167,12005,2018
547,Fayette,1057,12539,12626,2018
548,Chambers,1017,12541,12606,2018
549,Tuscaloosa,1125,11327,12555.5,2018
550,Wilcox,1131,8914.5,12632,2018
551,Marshall,1095,11832.5,12923.5,2018
552,Escambia,1053,11248.5,12119,2018
553,Limestone,1083,12657,13360,2018
554,Blount,1009,9022,12907,2018
555,Monroe,1099,9498.5,12406,2018
556,Marion,1093,12652,13004,2018
557,Lowndes,1085,8437.5,12616.5,2018
558,Coosa,1037,9697,12525.5,2018
559,Pike,1109,11402,12592,2018
560,Sumter,1119,8257.5,12480.5,2018
561,Winston,1133,12611.5,13485.5,2018
562,Talladega,1121,9490,12508,2018
563,Jackson,1071,5271,12907,2018
564,Baldwin,1003,8492,12365,2018
565,Bullock,1011,11136,12709,2018
566,Autauga,1001,12357.5,12668,2018
567,Macon,1087,11336,12799,2018
568,St. Clair,1115,11990.5,12780.5,2018
569,Choctaw,1023,7851,12525,2018
570,Cullman,1043,7911.5,13353.5,2018
571,Shelby,1117,9683,12554,2018
572,Dallas,1047,11719,12607,2018
573,Pickens,1107,11859,12132,2018
574,Lauderdale,1077,12042,12890,2018
575,Cleburne,1029,12681,13259,2018
576,Barbour,1005,12045,12619.5,2018
577,Geneva,1061,10842,12254,2018
578,Dale,1045,11659,12304,2018
579,Tallapoosa,1123,11159,12581,2018
580,Clarke,1025,10554,12404,2018
581,Houston,1069,11058,12326,2018
582,Washington,1129,11800,12079,2018
583,Madison,1089,11988,13141,2018
584,Crenshaw,1041,11243,12495,2018
585,Calhoun,1015,11235,12833,2018
586,Lawrence,1079,11109,13152,2018
587,Morgan,1103,11417,12881,2018
588,Lamar,1075,12272,12409,2018
589,Russell,1113,12241,12412,2018
590,Franklin,1059,6292,12483.5,2018
591,Conecuh,1035,8479,11914,2018
592,Elmore,1051,11369,12636.5,2018
593,Jefferson,1073,7636,12681.5,2018
594,Walker,1127,8880,12631,2018
595,Randolph,1111,12567,12836,2018
596,Montgomery,1101,9088,12625,2018
597,Bibb,1007,8936,12558,2018
598,Etowah,1055,11210,13041,2018
599,Chilton,1021,9558.5,12449.5,2018
600,Coffee,1031,11250.5,12292.5,2018
601,Covington,1039,10198,11828.5,2018
602,Henry,1067,11397,12456,2018
603,Clay,1027,10133,13165,2019
604,Marengo,1091,6489.5,13050,2019
